contest_id	in_contest_id	name	type	points	rating	tags
1302	F	Keep talking and nobody explodes -- easy	PROGRAMMING	-1	-1	bitmasks/brute force/expression parsing
1175	B	Catch Overflow!	PROGRAMMING	-1	1600	data structures/expression parsing/implementation
958	D1	Hyperspace Jump (easy)	PROGRAMMING	-1	1400	expression parsing/math
778	B	Bitwise Formula	PROGRAMMING	1000.0	1800	bitmasks/brute force/dfs and similar/expression parsing/implementation
756	F	Long number	PROGRAMMING	3000.0	3400	expression parsing/math/number theory
747	E	Comments	PROGRAMMING	2000.0	1700	dfs and similar/expression parsing/implementation/strings
727	B	Bill Total Value	PROGRAMMING	1000.0	1600	expression parsing/implementation/strings
723	B	Text Document Analysis	PROGRAMMING	1000.0	1100	expression parsing/implementation/strings
663	A	Rebus	PROGRAMMING	500.0	1800	constructive algorithms/expression parsing/greedy/math
612	C	Replace To Make Regular Bracket Sequence	PROGRAMMING	-1	1400	data structures/expression parsing/math
582	E	Boolean Function	PROGRAMMING	2500.0	3000	bitmasks/dp/expression parsing
552	E	Vanya and Brackets	PROGRAMMING	2500.0	2100	brute force/dp/expression parsing/greedy/implementation/strings
223	A	Bracket Sequence	PROGRAMMING	500.0	1700	data structures/expression parsing/implementation
217	C	Formurosa	PROGRAMMING	2500.0	2600	divide and conquer/dp/expression parsing
200	D	Programming Language	PROGRAMMING	1500.0	1800	binary search/brute force/expression parsing/implementation
195	C	Try and Catch	PROGRAMMING	1500.0	1800	expression parsing/implementation
188	H	Stack	PROGRAMMING	-1	1800	*special/expression parsing/implementation
172	E	BHTML+BCSS	PROGRAMMING	2000.0	2200	*special/dfs and similar/expression parsing
115	D	Unambiguous Arithmetic Expression	PROGRAMMING	2000.0	2600	dp/expression parsing
89	B	Widget Library	PROGRAMMING	1000.0	2300	dp/expression parsing/graphs/implementation
75	B	Facetook Priority Wall	PROGRAMMING	1000.0	1500	expression parsing/implementation/strings
70	B	Text Messaging	PROGRAMMING	1000.0	1600	expression parsing/greedy/strings
72	D	Perse-script	PROGRAMMING	-1	2300	*special/expression parsing
64	F	Domain	PROGRAMMING	-1	2000	*special/expression parsing
64	B	Expression	PROGRAMMING	-1	1500	*special/expression parsing
59	C	Title	PROGRAMMING	1500.0	1600	expression parsing
56	C	Corporation Mail	PROGRAMMING	1500.0	1700	data structures/expression parsing/implementation
51	B	bHTML Tables Analisys	PROGRAMMING	1000.0	1700	expression parsing
41	C	Email address	PROGRAMMING	1500.0	1300	expression parsing/implementation
39	A	C*++ Calculations	PROGRAMMING	-1	2000	expression parsing/greedy
34	C	Page Numbers	PROGRAMMING	1500.0	1300	expression parsing/implementation/sortings/strings
32	B	Borze	PROGRAMMING	1000.0	800	expression parsing/implementation
7	E	Defining Macros	PROGRAMMING	-1	2600	dp/expression parsing/implementation
1439	D	INOI Final Contests	PROGRAMMING	2500.0	3100	combinatorics/dp/fft
1438	C	Engineer Artem	PROGRAMMING	1250.0	2000	2-sat/chinese remainder theorem/constructive algorithms/fft/flows
1408	G	Clusterization Counting	PROGRAMMING	3000.0	2700	combinatorics/dp/dsu/fft/graphs/trees
1392	I	Kevin and Grid	PROGRAMMING	4000.0	3300	fft/graphs/math
1398	G	Running Competition	PROGRAMMING	-1	2600	bitmasks/fft/math/number theory
1349	F2	Slime and Sequences (Hard Version)	PROGRAMMING	1750.0	3500	dp/fft/math
1349	F1	Slime and Sequences (Easy Version)	PROGRAMMING	1750.0	3100	dp/fft/math
1342	E	Placing Rooks	PROGRAMMING	-1	2300	combinatorics/fft/math
1334	G	Substring Search	PROGRAMMING	-1	2900	bitmasks/brute force/fft
1286	F	Harry The Potter	PROGRAMMING	2750.0	3100	brute force/constructive algorithms/dp/fft/implementation/math
1270	I	Xor on Figures	PROGRAMMING	4500.0	3500	constructive algorithms/fft/math
1257	G	Divisor Set	PROGRAMMING	-1	2600	divide and conquer/fft/greedy/math/number theory
1251	F	Red-White Fence	PROGRAMMING	-1	2500	combinatorics/fft
1218	E	Product Tuples	PROGRAMMING	-1	2500	divide and conquer/fft
1218	D	Xor Spanning Tree	PROGRAMMING	-1	2400	divide and conquer/fft/graphs
1184	A3	Heidi Learns Hashing (Hard)	PROGRAMMING	-1	3100	fft/math/number theory
1119	H	Triple	PROGRAMMING	3750.0	3200	fft/math
